ingreds,recipe,quant,ingred,Proper,Name,Price,units,Quantity,QUnit,Qunat_recipe,unit_recipe,stand_quant
Diced Chicken Thigh,Speedy Zanzibar Chicken Curry,280 grams,Diced Chicken Thigh,roast chicken thighs,Roast Chicken Thighs 500g,3,500g,500,g,280,grams,0.56
Baby Corn,Speedy Zanzibar Chicken Curry,1 pack(s),Baby Corn,babycorn,Babycorn 175g,1.6,175g,175,g,1,pack(s),1
Green Beans,Speedy Zanzibar Chicken Curry,1 pack(s),Green Beans,cut french green beans in water,Cut French Green Beans In Water 400g (225g*),0.8,400g,400,g,1,pack(s),1
Red Pepper,Speedy Zanzibar Chicken Curry,1 unit(s),Red Pepper,red pepper,Red Pepper,0.45,x1,1,unit,1,unit(s),1
Tomato Puree,Speedy Zanzibar Chicken Curry,1 sachet,Tomato Puree,tomato puree double concentrate,"Tomato Puree, Double Concentrate 200g",0.35,200g,200,g,1,sachet,1
Zanzibar Curry Spice Mix,Speedy Zanzibar Chicken Curry,1 pot(s),Zanzibar Curry Spice Mix,natco curry powder,Natco Curry Powder 100g,0.8,100g,100,g,1,pot(s),1
Chicken Stock Powder,Speedy Zanzibar Chicken Curry,1 sachet,Chicken Stock Powder,Chicken Stock Powder,Oxo Reduced Salt Chicken Stock Cubes x12 71g,1,71g,71,g,1,sachet,1
Reduced Fat Creme Fraiche,Speedy Zanzibar Chicken Curry,75 grams,Reduced Fat Creme Fraiche,yeo valley organic half fat creme fraiche,Yeo Valley Organic Half Fat Creme Fraiche 200g,1.1,200g,200,g,75,grams,0.375
Basmati Rice,Speedy Zanzibar Chicken Curry,1 pack(s),Basmati Rice,laila basmati rice,Laila Basmati Rice 5kg,8,5k,5000,g,1,pack(s),1
Water,Speedy Zanzibar Chicken Curry,1 unit(s),Water,Water,Water,0,x1,1,unit,1,unit(s),1
Diced Chicken Breast,Zanzibar Chicken Curry,1 pack(s),Diced Chicken Breast,british fresh diced chicken breast,British Fresh Diced Chicken Breast 410g,2.4,410g,410,g,1,pack(s),1
Green Pepper,Zanzibar Chicken Curry,1 unit(s),Green Pepper,green pepper,Green Pepper,0.45,x1,1,unit,1,unit(s),1
Coriander,Zanzibar Chicken Curry,1 bunch(es),Coriander,natco coriander ground,Natco Coriander Ground 100g,0.8,100g,100,g,1,bunch(es),1
Lime,Zanzibar Chicken Curry,1 unit(s),Lime,limes,Limes,0.19,x1,1,unit,1,unit(s),1
Tomato Puree,Zanzibar Chicken Curry,1 sachet,Tomato Puree,tomato puree double concentrate,"Tomato Puree, Double Concentrate 200g",0.35,200g,200,g,1,sachet,1
Zanzibar Curry Spice Mix,Zanzibar Chicken Curry,1 pot(s),Zanzibar Curry Spice Mix,natco curry powder,Natco Curry Powder 100g,0.8,100g,100,g,1,pot(s),1
Light Coconut Milk,Zanzibar Chicken Curry,1 tin(s),Light Coconut Milk,coconut milk light,Coconut Milk Light 400g,0.9,400g,400,g,1,tin(s),1
Chicken Stock Powder,Zanzibar Chicken Curry,1 pot(s),Chicken Stock Powder,Chicken Stock Powder,Oxo Reduced Salt Chicken Stock Cubes x12 71g,1,71g,71,g,1,pot(s),1
Basmati Rice,Zanzibar Chicken Curry,250 grams,Basmati Rice,laila basmati rice,Laila Basmati Rice 5kg,8,5k,5000,g,250,grams,0.05
Chicken Thighs,African Chicken Curry,8 unit(s),Chicken Thighs,roast chicken thighs,Roast Chicken Thighs 500g,3,500g,500,g,8,unit(s),8
Curry Powder,African Chicken Curry,1.5 tsp,Curry Powder,tikka curry powder,Tikka Curry Powder 90g,1,90g,90,g,1.5,tsp,0.05
Red Onion,African Chicken Curry,1 unit(s),Red Onion,red onions loose,Red Onions Loose,1,x1,1,unit,1,unit(s),1
Garlic Clove,African Chicken Curry,1 unit(s),Garlic Clove,garlic,Garlic,0.25,x1,1,unit,1,unit(s),1
Ginger,African Chicken Curry,1 unit(s),Ginger,ground ginger,Ground Ginger 38g,0.85,38g,38,g,1,unit(s),1
Chopped Tomatoes,African Chicken Curry,1 tin(s),Chopped Tomatoes,napolina chopped tomatoes,Napolina Chopped Tomatoes 400g,1,400g,400,g,1,tin(s),1
Chicken Stock Pot,African Chicken Curry,1 unit(s),Chicken Stock Pot,oxo vegetable stock cubes,Oxo Vegetable Stock Cubes x12 71g,1.6,71g,71,g,1,unit(s),1
Cardamom Pod,African Chicken Curry,4 unit(s),Cardamom Pod,Cardamom Pod,Fudco Bold Green Cardamom 50g,3.5,50g,50,g,4,unit(s),4
Ground Turmeric,African Chicken Curry,1 tsp,Ground Turmeric,turmeric,Turmeric 48g,0.85,48g,48,g,1,tsp,0.0625
Basmati Rice,African Chicken Curry,350 grams,Basmati Rice,laila basmati rice,Laila Basmati Rice 5kg,8,5k,5000,g,350,grams,0.07
Green Beans,African Chicken Curry,1 pack(s),Green Beans,cut french green beans in water,Cut French Green Beans In Water 400g (225g*),0.8,400g,400,g,1,pack(s),1
Flat Leaf Parsley,African Chicken Curry,1 bunch(es),Flat Leaf Parsley,fresh packed flat leaf parsley,Fresh Packed Flat Leaf Parsley 30g,0.75,30g,30,g,1,bunch(es),1
Red Pepper,African Chicken Curry,1 unit(s),Red Pepper,red pepper,Red Pepper,0.45,x1,1,unit,1,unit(s),1
Water,African Chicken Curry,1 unit(s),Water,Water,Water,0,x1,1,unit,1,unit(s),1
Couscous,Spiced Fennel Sausages with Herbed Couscous,1 cup(s),Couscous,alfez moroccan spiced couscous,Al'Fez Moroccan Spiced Couscous 200g,1.5,200g,200,g,1,cup(s),1
Red Onion,Spiced Fennel Sausages with Herbed Couscous,1 unit(s),Red Onion,red onions loose,Red Onions Loose,1,x1,1,unit,1,unit(s),1
Garlic Clove,Spiced Fennel Sausages with Herbed Couscous,1 unit(s),Garlic Clove,garlic,Garlic,0.25,x1,1,unit,1,unit(s),1
Orange Pepper,Spiced Fennel Sausages with Herbed Couscous,1 unit(s),Orange Pepper,orange pepper,Orange Pepper,0.45,x1,1,unit,1,unit(s),1
Chermoula Spice,Spiced Fennel Sausages with Herbed Couscous,2 tsp,Chermoula Spice,harissa spices,Harissa Spices 45g,2.1,45g,45,g,2,tsp,0.133333333
Tomato Passata,Spiced Fennel Sausages with Herbed Couscous,1 unit(s),Tomato Passata,mutti double concentrate tomato,Mutti Double Concentrate Tomato 130g,1.2,130g,130,g,1,unit(s),1
Tuscan Pork Sausage,Spiced Fennel Sausages with Herbed Couscous,4 unit(s),Tuscan Pork Sausage,butchers choice pork sausages,Butcher's Choice Pork Sausages x8 454g,1.5,454g,454,g,4,unit(s),4
Mint,Spiced Fennel Sausages with Herbed Couscous,5 tbsp,Mint,mint,Mint 12g,0.85,12g,12,g,5,tbsp,6.25
Flat Leaf Parsley,Spiced Fennel Sausages with Herbed Couscous,5 tbsp,Flat Leaf Parsley,fresh packed flat leaf parsley,Fresh Packed Flat Leaf Parsley 30g,0.75,30g,30,g,5,tbsp,2.5
Lemon,Spiced Fennel Sausages with Herbed Couscous,1 unit(s),Lemon,lemons,Lemons,0.3,x1,1,unit,1,unit(s),1
Natural Yoghurt,Spiced Fennel Sausages with Herbed Couscous,1 pot(s),Natural Yoghurt,yeo valley organic natural yogurt,Yeo Valley Organic Natural Yogurt 150g,0.55,150g,150,g,1,pot(s),1
Duck Breast,Duck Steaks,2 unit(s),Duck Breast,gressingham duck breast portions,Gressingham Duck Breast Portions 250g,4.25,250g,250,g,2,unit(s),2
Sweet Potato,Duck Steaks,1 unit(s),Sweet Potato,sweet potato,Sweet Potato 1.25kg,1.5,1.25k,1250,g,1,unit(s),1
Garlic Clove,Duck Steaks,1 unit(s),Garlic Clove,garlic,Garlic,0.25,x1,1,unit,1,unit(s),1
Chickpeas,Duck Steaks,1 unit(s),Chickpeas,chickpeas in water,Chickpeas in Water 400g (240g*),0.55,400g,400,g,1,unit(s),1
Ras-el-Hanout,Duck Steaks,1 tbsp,Ras-el-Hanout,Ras-el-Hanout,Sainsbury's Ras El Hanout 45g,2.1,45g,45,g,1,tbsp,0.333333333
Baby Spinach,Duck Steaks,1 unit(s),Baby Spinach,young spinach,Young Spinach 260g,1.5,260g,260,g,1,unit(s),1
Natural Yoghurt,Duck Steaks,4 tbsp,Natural Yoghurt,yeo valley organic natural yogurt,Yeo Valley Organic Natural Yogurt 150g,0.55,150g,150,g,4,tbsp,0.4
Lemon,Duck Steaks,1 unit(s),Lemon,lemons,Lemons,0.3,x1,1,unit,1,unit(s),1
Tomato Puree,Duck Steaks,1 tbsp,Tomato Puree,tomato puree double concentrate,"Tomato Puree, Double Concentrate 200g",0.35,200g,200,g,1,tbsp,0.075
Carrot,Chermoula Chicken,1 unit(s),Carrot,carrots,Carrots 1kg,0.41,1k,1000,g,1,unit(s),1
Onion,Chermoula Chicken,1 unit(s),Onion,onions,Onions 1kg,0.85,1k,1000,g,1,unit(s),1
Red Pepper,Chermoula Chicken,1 unit(s),Red Pepper,red pepper,Red Pepper,0.45,x1,1,unit,1,unit(s),1
Garlic Clove,Chermoula Chicken,1 unit(s),Garlic Clove,garlic,Garlic,0.25,x1,1,unit,1,unit(s),1
Coriander,Chermoula Chicken,3 tbsp,Coriander,natco coriander ground,Natco Coriander Ground 100g,0.8,100g,100,g,3,tbsp,0.45
Ras-el-Hanout,Chermoula Chicken,1 tbsp,Ras-el-Hanout,Ras-el-Hanout,Sainsbury's Ras El Hanout 45g,2.1,45g,45,g,1,tbsp,0.333333333
Lemon,Chermoula Chicken,1 unit(s),Lemon,lemons,Lemons,0.3,x1,1,unit,1,unit(s),1
Chicken Thighs,Chermoula Chicken,4 unit(s),Chicken Thighs,roast chicken thighs,Roast Chicken Thighs 500g,3,500g,500,g,4,unit(s),4
Chorizo,Chermoula Chicken,1 unit(s),Chorizo,spanish chorizo rin,Spanish Chorizo Ring 225g,2.25,225g,225,g,1,unit(s),1
Organic Lentils,Chermoula Chicken,1 tin(s),Organic Lentils,dried green lentils,Dried Green Lentils 500g,1.15,500g,500,g,1,tin(s),1
Sirloin Steak,Sirloin Steak and Chorizo Salsa,2 unit(s),Sirloin Steak,   day matured sirloin steak taste the difference,"30 Day Matured Sirloin Steak, Taste the Difference 225g",4.5,225g,225,g,2,unit(s),2
Potato,Sirloin Steak and Chorizo Salsa,450 grams,Potato,baby potatoes,Baby Potatoes 1kg,0.9,1k,1000,g,450,grams,0.45
